timestamp,barn_id,sensor_id,temperature,humidity,ammonia_level
2024-01-01 00:00:00,BARN001,SENSOR01_01,19.52,75.77,11.81
2024-01-01 00:01:00,BARN001,SENSOR01_02,22.31,84.55,35.46
2024-01-01 00:02:00,BARN001,SENSOR01_03,22.43,71.67,9.22
2024-01-01 00:03:00,BARN001,SENSOR01_01,23.96,74.41,15.39
2024-01-01 00:04:00,BARN001,SENSOR01_02,23.92,68.11,19.48
2024-01-01 00:05:00,BARN001,SENSOR01_03,21.01,70.49,12.77
2024-01-01 00:06:00,BARN001,SENSOR01_01,20.98,76.11,12.11
2024-01-01 00:07:00,BARN001,SENSOR01_02,20.34,78.54,13.9
2024-01-01 00:08:00,BARN001,SENSOR01_03,17.02,87.59,15.28
2024-01-01 00:09:00,BARN001,SENSOR01_01,24.21,72.16,10.48
2024-01-01 00:10:00,BARN001,SENSOR01_02,24.01,67.85,11.7
2024-01-01 00:11:00,BARN001,SENSOR01_03,19.39,76.16,11.99
2024-01-01 00:12:00,BARN001,SENSOR01_01,21.64,66.62,10.08
2024-01-01 00:13:00,BARN001,SENSOR01_02,21.07,74.96,13.68
2024-01-01 00:14:00,BARN001,SENSOR01_03,21.21,69.5,13.85
2024-01-01 00:15:00,BARN001,SENSOR01_01,18.4,72.95,12.44
2024-01-01 00:16:00,BARN001,SENSOR01_02,21.49,77.22,12.72
2024-01-01 00:17:00,BARN001,SENSOR01_03,24.0,71.09,15.74
2024-01-01 00:18:00,BARN001,SENSOR01_01,27.99,76.19,11.88
2024-01-01 00:19:00,BARN001,SENSOR01_02,23.72,75.77,13.04
2024-01-01 00:20:00,BARN001,SENSOR01_03,23.23,61.96,11.29
2024-01-01 00:21:00,BARN001,SENSOR01_01,22.02,66.65,14.18
2024-01-01 00:22:00,BARN001,SENSOR01_02,21.91,63.23,8.7
2024-01-01 00:23:00,BARN001,SENSOR01_03,25.07,80.92,13.26
2024-01-01 00:24:00,BARN001,SENSOR01_01,23.81,70.27,13.61
2024-01-01 00:25:00,BARN001,SENSOR01_02,22.02,79.58,10.51
2024-01-01 00:26:00,BARN001,SENSOR01_03,21.31,62.39,10.94
2024-01-01 00:27:00,BARN001,SENSOR01_01,23.09,67.57,12.75
2024-01-01 00:28:00,BARN001,SENSOR01_02,22.4,74.32,14.43
2024-01-01 00:29:00,BARN001,SENSOR01_03,23.52,71.1,10.79
2024-01-01 00:30:00,BARN001,SENSOR01_01,23.13,72.75,11.02
2024-01-01 00:31:00,BARN001,SENSOR01_02,24.42,63.7,15.37
2024-01-01 00:32:00,BARN001,SENSOR01_03,21.17,76.73,11.6
2024-01-01 00:33:00,BARN001,SENSOR01_01,25.95,73.62,12.02
2024-01-01 00:34:00,BARN001,SENSOR01_02,29.38,71.63,16.07
2024-01-01 00:35:00,BARN001,SENSOR01_03,26.26,66.08,12.7
2024-01-01 00:36:00,BARN001,SENSOR01_01,24.37,71.01,15.16
2024-01-01 00:37:00,BARN001,SENSOR01_02,25.75,67.82,12.19
2024-01-01 00:38:00,BARN001,SENSOR01_03,22.03,60.92,12.09
2024-01-01 00:39:00,BARN001,SENSOR01_01,20.93,68.8,13.97
